GEO_ID,NAME,totalSurveyPop,less_than_10k,10k_to_14.99k,15k_to_19.99k,20k_to_24.99k,25k_to_29.99k,30k_to_34.99k,35k_to_39.99k,40k_to_44.99k,45k_to_49.99k,50k_to_59.99k,60k_to_74.99k,75k_99.99k,100k_to_124.99k,125k_to_149.99k,150k_to_199.99k,200k_or_more
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",690,30,9,11,16,39,27,18,56,65,22,98,42,63,31,83,80
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",442,0,0,0,51,10,0,11,41,0,28,34,49,83,63,30,42
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",848,48,23,57,74,60,11,54,16,15,54,101,72,146,95,0,22
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",690,30,9,11,16,39,27,18,56,65,22,98,42,63,31,83,80
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",442,0,0,0,51,10,0,11,41,0,28,34,49,83,63,30,42
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",848,48,23,57,74,60,11,54,16,15,54,101,72,146,95,0,22
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",639,48,8,21,0,0,28,28,19,15,32,66,117,76,65,56,60
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",496,9,0,7,7,26,13,16,8,7,26,51,33,56,51,91,95
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",485,0,25,21,10,8,9,23,7,8,4,33,94,57,32,74,80
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",639,48,8,21,0,0,28,28,19,15,32,66,117,76,65,56,60
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",496,9,0,7,7,26,13,16,8,7,26,51,33,56,51,91,95
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",485,0,25,21,10,8,9,23,7,8,4,33,94,57,32,74,80
1500000US530330052001,"Block Group 1, Census Tract 52, King County, Washington",404,169,18,18,0,17,61,19,21,0,17,31,19,0,14,0,0
1500000US530330052002,"Block Group 2, Census Tract 52, King County, Washington",789,357,18,38,29,21,0,19,125,0,17,39,32,53,15,0,26
1500000US530330052003,"Block Group 3, Census Tract 52, King County, Washington",528,39,16,17,53,0,0,39,78,13,16,31,35,48,44,13,86
1500000US530330052004,"Block Group 4, Census Tract 52, King County, Washington",571,60,19,0,0,19,0,10,0,32,54,25,69,39,53,86,105
1500000US530330052005,"Block Group 5, Census Tract 52, King County, Washington",648,254,35,20,16,57,18,0,15,39,0,60,19,85,30,0,0
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",723,95,31,9,45,35,12,0,39,39,48,55,69,58,72,99,17
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",1024,202,86,74,87,64,29,17,17,8,97,53,129,36,30,70,25
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",723,95,31,9,45,35,12,0,39,39,48,55,69,58,72,99,17
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",1024,202,86,74,87,64,29,17,17,8,97,53,129,36,30,70,25
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",482,89,56,17,41,52,68,0,25,25,24,9,13,23,24,8,8
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",1011,165,75,53,135,84,97,46,41,0,66,46,66,29,36,51,21
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",482,89,56,17,41,52,68,0,25,25,24,9,13,23,24,8,8
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",1011,165,75,53,135,84,97,46,41,0,66,46,66,29,36,51,21
