"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US530330001011","Block Group 1, Census Tract 1.01, King County, Washington","1484","620","null","null","898","600","null","null","19","31","null","null","16","24","null","null","218","123","null","null","0","13","null","null","0","null","13","null","333","247","null","null","84","122","null","null","249","220","null","null",
"1500000US530330001012","Block Group 2, Census Tract 1.01, King County, Washington","1112","305","null","null","453","185","null","null","485","260","null","null","0","13","null","null","81","97","null","null","0","13","null","null","45","null","53","null","48","80","null","null","0","13","null","null","48","80","null","null",
"1500000US530330001013","Block Group 3, Census Tract 1.01, King County, Washington","1063","306","null","null","366","214","null","null","198","226","null","null","0","13","null","null","267","197","null","null","0","13","null","null","58","null","65","null","174","127","null","null","27","45","null","null","147","116","null","null",
"1500000US530330001021","Block Group 1, Census Tract 1.02, King County, Washington","1559","563","null","null","1390","547","null","null","0","13","null","null","17","27","null","null","104","86","null","null","0","13","null","null","0","null","13","null","48","45","null","null","0","13","null","null","48","45","null","null",
"1500000US530330001022","Block Group 2, Census Tract 1.02, King County, Washington","1467","336","null","null","898","303","null","null","33","52","null","null","0","13","null","null","407","164","null","null","0","13","null","null","107","null","176","null","22","33","null","null","0","13","null","null","22","33","null","null",
"1500000US530330001023","Block Group 3, Census Tract 1.02, King County, Washington","1513","294","null","null","817","229","null","null","272","255","null","null","0","13","null","null","177","111","null","null","0","13","null","null","171","null","157","null","76","68","null","null","11","19","null","null","65","65","null","null",
"1500000US530330002011","Block Group 1, Census Tract 2.01, King County, Washington","1471","375","null","null","782","319","null","null","366","287","null","null","0","13","null","null","135","118","null","null","0","13","null","null","143","null","204","null","45","44","null","null","32","37","null","null","13","21","null","null",
"1500000US530330002012","Block Group 2, Census Tract 2.01, King County, Washington","1543","467","null","null","984","307","null","null","48","39","null","null","0","13","null","null","466","417","null","null","0","13","null","null","27","null","43","null","18","29","null","null","0","13","null","null","18","29","null","null",
"1500000US530330002013","Block Group 3, Census Tract 2.01, King County, Washington","1666","405","null","null","1287","405","null","null","0","13","null","null","0","13","null","null","116","73","null","null","0","13","null","null","120","null","159","null","143","98","null","null","53","66","null","null","90","76","null","null",
